Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BAU006__Gebaeude/Gebaeudeteile__Anzahl;FLC002__Nutzflaeche__1000_qm;FLC001__Wohnflaeche__1000_qm;WOHN01__Wohnungen__Anzahl
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBANSTALT01;  Anstaltsgebäude;167;331;7;197
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBUERO01;  Büro- und Verwaltungsgebäude;878;990;32;373
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBETRLW01;  Landwirtschaftliche Betriebsgebäude;3076;817;72;617
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBETRNLW01;  Nichtlandwirtschaftliche Betriebsgebäude;4616;3192;126;1454
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBFABRIK01;  Fabrik- und Werkstattgebäude;1212;1069;25;251
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBHANDEL01;  Handelsgebäude;710;552;42;504
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBLAGER01;  Warenlagergebäude;1352;921;21;238
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;HOTELSGAST;  Hotels und Gaststätten;575;348;31;369
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBNWOHNSONST01;  Sonstige Nichtwohngebäude;1029;620;24;271
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;;Insgesamt;15425;6270;1451;18470
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW01;  Wohngebäude mit 1 Wohnung;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW02;  Wohngebäude mit 2 Wohnungen;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW03UM;  Wohngebäude mit 3 oder mehr Wohnungen;x;x;x;x
